escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,recepciones,toques_largos,dificultad_media,demora_sobre_cadencia,demora_media_ticks,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 tapado,4,1,Tiki taka,Juego directo,77217,true,46.0,7.0,0.23394031005458,1.01025641025641,5.05128205128205,3.0,0.0,3.0,6.0,45.6422018348624,43.0,10.0,50.0,2.0,0.0,0.0,1.0,0.0,960.0,91.9087982337107,0.0,960.0,55.2030456852792,17.9166666666667,23.0,4.72826086956522,2.0,39.3415150485413,18991.4373820962,410.626,444.387
D1 tapado,4,1,Tiki taka,Juego directo,77230,true,41.0,5.0,0.2299306451692,1.04545454545455,5.11111111111111,4.0,1.0,3.0,7.0,49.1525423728814,36.0,17.0,49.0,2.0,0.0,0.0,0.0,0.0,960.0,90.9989016379195,0.0,960.0,53.8057742782152,20.625,32.0,3.203125,4.0,42.1709944154976,18233.8761816941,413.24,464.349
D1 tapado,4,1,Tiki taka,Juego directo,77243,true,43.0,3.0,0.25186175748696,0.98019801980198,4.95,5.0,1.0,4.0,14.0,48.1375358166189,42.0,10.0,51.0,1.0,0.0,0.0,1.0,0.0,1011.0,92.3490370524373,0.0,1011.0,48.9421720733427,29.8714144411474,27.0,3.21296296296296,4.0,36.8684917543258,17046.9963157977,385.991,432.817
D1 tapado,4,1,Presion alta,Contragolpe,77100,true,32.0,2.0,0.26236596557132,1.00595238095238,5.63333333333333,2.0,0.0,2.0,7.0,45.353982300885,26.0,22.0,42.0,2.0,0.0,0.0,0.0,0.0,963.0,90.8214434682136,0.0,963.0,55.7907845579078,16.6147455867082,43.0,2.6046511627907,9.0,40.0899313938423,19515.9088132539,418.725,459.885
D1 tapado,4,1,Presion alta,Contragolpe,77113,true,37.0,2.0,0.25374246657388,0.99014778325123,5.74285714285714,5.0,0.0,5.0,7.0,43.8095238095238,36.0,16.0,46.0,4.0,0.0,0.0,2.0,1.0,989.0,92.0939066270899,0.0,989.0,56.1827956989247,24.7724974721941,29.0,3.60344827586207,4.0,38.1395695791041,17492.6966171677,387.605,423.315
D1 tapado,4,1,Presion alta,Contragolpe,77126,true,38.0,4.0,0.23678431484834,0.98039215686275,5.88235294117647,4.0,0.0,4.0,8.0,45.0261780104712,38.0,16.0,46.0,3.0,0.0,0.0,1.0,0.0,967.0,91.7970727459052,0.0,967.0,52.1438450899032,25.2326783867632,25.0,3.77,3.0,41.7072842716973,17465.9825824567,395.779,445.884
D1 tapado,4,1,Presion alta,Contragolpe,77139,true,40.0,8.0,0.27193046676665,1.00529100529101,5.9375,3.0,0.0,3.0,11.0,56.9974554707379,36.0,20.0,45.0,2.0,0.0,0.0,2.0,0.0,967.0,91.0813814355783,0.0,967.0,52.3489932885906,22.9576008273009,35.0,2.78571428571429,9.0,37.201278251911,17843.9206019486,398.394,443.467
D1 tapado,4,1,Presion alta,Contragolpe,77152,true,39.0,1.0,0.26037351509789,1.01395348837209,5.73684210526316,3.0,0.0,3.0,9.0,54.2579075425791,37.0,16.0,48.0,3.0,0.0,0.0,3.0,0.0,963.0,92.196577120283,0.0,963.0,53.6136662286465,20.9761163032191,33.0,3.09090909090909,5.0,37.8152780594534,19600.6645366083,411.087,451.187
D1 tapado,4,1,Presion alta,Contragolpe,77165,true,41.0,3.0,0.22932788775296,0.96634615384615,5.28947368421053,5.0,0.0,5.0,8.0,46.0559796437659,34.0,19.0,51.0,2.0,0.0,0.0,1.0,0.0,967.0,92.2588041517173,0.0,967.0,51.9410977242303,22.7507755946225,33.0,2.93939393939394,7.0,38.3133015077244,17483.3161982331,402.064,445.829
D1 tapado,4,1,Presion alta,Contragolpe,77178,true,43.0,1.0,0.25108029139737,1.00847457627119,5.66666666666667,4.0,1.0,3.0,3.0,52.3364485981308,40.0,18.0,50.0,4.0,1.0,0.0,4.0,0.0,960.0,91.8456697893087,0.0,960.0,56.8548387096774,22.5,25.0,4.23,3.0,37.8116014876041,17671.5708080494,404.382,442.934
