escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 favorito,1,4,Tiki taka,Juego directo,77165,true,5.0,5.0,0.0,9.0,50.5235602094241,46.0,14.0,64.0,2.0,0.0,1.0,1.0,0.0,999.0,93.0847272727273,0.0,999.0,52.9986052998605,28.2282282282282,27.0,3.51851851851852,3.0,15836.2117386257,345.358,357.053
D1 favorito,1,4,Tiki taka,Juego directo,77178,true,6.0,6.0,0.0,7.0,63.7931034482759,41.0,13.0,62.0,5.0,1.0,0.0,2.0,0.0,962.0,94.2563636363636,0.0,962.0,51.0355029585799,29.7297297297297,27.0,3.19444444444444,8.0,17389.7095766015,316.991,326.478
D1 favorito,1,4,Tiki taka,Juego directo,77191,true,6.0,6.0,0.0,9.0,57.183908045977,49.0,8.0,65.0,1.0,0.0,1.0,0.0,0.0,989.0,94.852,0.0,989.0,46.1949265687583,24.2669362992922,27.0,3.2037037037037,5.0,19204.4059465074,318.654,381.049
D1 favorito,1,4,Tiki taka,Juego directo,77204,true,6.0,6.0,0.0,10.0,49.6124031007752,45.0,22.0,66.0,1.0,0.0,0.0,0.0,0.0,995.0,93.1403636363636,0.0,995.0,50.1950585175553,22.713567839196,36.0,2.68055555555556,7.0,19250.0729458083,346.947,416.091
D1 favorito,1,4,Tiki taka,Juego directo,77217,true,5.0,5.0,0.0,9.0,59.452736318408,41.0,16.0,59.0,4.0,0.0,0.0,0.0,0.0,1006.0,90.2930909090909,0.0,1006.0,58.3456425406204,32.7037773359841,35.0,2.82142857142857,5.0,16538.4700143207,354.907,386.823
D1 favorito,1,4,Tiki taka,Juego directo,77230,true,5.0,5.0,0.0,11.0,67.8191489361702,36.0,21.0,60.0,4.0,0.0,2.0,1.0,0.0,966.0,90.5025454545454,0.0,966.0,55.8383233532934,30.8488612836439,31.0,3.00806451612903,7.0,16566.4253559105,333.618,368.25
D1 favorito,1,4,Tiki taka,Juego directo,77243,true,3.0,3.0,0.0,8.0,59.7590361445783,53.0,17.0,71.0,4.0,0.0,0.0,1.0,0.0,1031.0,93.5625454545455,0.0,1031.0,51.9546027742749,23.0843840931135,29.0,3.55172413793103,6.0,19109.6647125207,393.243,430.516
D1 favorito,1,4,Presion alta,Contragolpe,77100,true,7.0,7.0,0.0,12.0,64.4768856447689,26.0,19.0,38.0,3.0,0.0,0.0,1.0,0.0,996.0,88.0054545454545,0.0,996.0,60.5067064083458,32.6305220883534,23.0,4.41304347826087,5.0,14602.9586109807,297.481,330.902
D1 favorito,1,4,Presion alta,Contragolpe,77113,true,3.0,3.0,0.0,7.0,54.5054945054945,37.0,21.0,47.0,2.0,0.0,0.0,2.0,0.0,962.0,88.4636363636363,0.0,962.0,58.6161879895561,20.3742203742204,33.0,3.40151515151515,8.0,17887.5880329284,311.088,375.515
D1 favorito,1,4,Presion alta,Contragolpe,77126,true,2.0,2.0,0.0,10.0,55.8620689655172,36.0,13.0,52.0,1.0,0.0,1.0,0.0,0.0,1051.0,91.5105454545455,0.0,1051.0,53.6555142503098,23.2159847764034,27.0,4.00925925925926,3.0,19332.1768131841,332.159,384.658
D1 favorito,1,4,Presion alta,Contragolpe,77139,true,6.0,6.0,0.0,10.0,53.5874439461883,39.0,21.0,53.0,0.0,0.0,0.0,0.0,0.0,1030.0,89.2229090909091,0.0,1030.0,57.0694087403599,24.4660194174757,35.0,3.17142857142857,4.0,16954.3625456243,358.493,417.749
D1 favorito,1,4,Presion alta,Contragolpe,77152,true,5.0,5.0,0.0,10.0,55.5288461538462,39.0,15.0,57.0,2.0,0.0,0.0,2.0,0.0,994.0,91.2258181818182,0.0,994.0,54.3307086614173,23.3400402414487,31.0,3.33870967741936,3.0,19293.1696613334,385.529,412.818
D1 favorito,1,4,Presion alta,Contragolpe,77165,true,6.0,5.0,1.0,10.0,58.3126550868486,34.0,20.0,51.0,5.0,0.0,0.0,3.0,1.0,981.0,90.5221818181818,0.0,981.0,59.231905465288,30.9887869520897,33.0,3.03787878787879,6.0,15373.4464534843,308.813,406.703
D1 favorito,1,4,Presion alta,Contragolpe,77178,true,6.0,6.0,0.0,10.0,57.258064516129,39.0,14.0,49.0,2.0,0.0,0.0,1.0,0.0,963.0,90.5156363636364,0.0,963.0,51.9774011299435,26.4797507788162,29.0,3.17241379310345,9.0,17359.3597958387,348.302,356.476
