escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 favorito,1,4,Tiki taka,Juego directo,77165,true,3.0,3.0,0.0,11.0,51.8181818181818,48.0,19.0,68.0,7.0,0.0,0.0,2.0,1.0,988.0,92.0472727272727,0.0,988.0,57.9227696404794,23.9878542510121,37.0,2.93918918918919,8.0,17402.767133752,292.226,325.134
D1 favorito,1,4,Tiki taka,Juego directo,77178,true,5.0,5.0,0.0,13.0,56.9306930693069,46.0,13.0,55.0,3.0,0.0,0.0,1.0,0.0,965.0,91.0818181818182,0.0,965.0,56.558533145275,26.5284974093264,30.0,3.34166666666667,9.0,17746.8116705155,288.062,323.567
D1 favorito,1,4,Tiki taka,Juego directo,77191,true,6.0,6.0,0.0,12.0,55.3072625698324,49.0,19.0,63.0,3.0,0.0,2.0,3.0,0.0,968.0,91.3272727272727,0.0,968.0,55.0925925925926,33.0578512396694,32.0,2.7890625,9.0,16071.9717392458,281.971,294.477
D1 favorito,1,4,Tiki taka,Juego directo,77204,true,6.0,6.0,0.0,8.0,64.6907216494845,47.0,13.0,62.0,3.0,0.0,1.0,1.0,1.0,986.0,93.268,0.0,986.0,53.9106145251397,27.3833671399594,34.0,2.83823529411765,9.0,16911.0710424812,266.706,293.857
D1 favorito,1,4,Tiki taka,Juego directo,77217,true,10.0,10.0,0.0,11.0,70.3081232492997,48.0,10.0,54.0,2.0,0.0,2.0,1.0,0.0,996.0,90.928,0.0,996.0,57.4675324675325,38.1526104417671,27.0,3.27777777777778,3.0,14327.0971683509,249.532,280.465
D1 favorito,1,4,Tiki taka,Juego directo,77230,true,7.0,7.0,0.0,11.0,59.4666666666667,38.0,16.0,49.0,6.0,0.0,0.0,1.0,0.0,960.0,88.4963636363636,0.0,960.0,61.5,37.5,28.0,3.29464285714286,5.0,14251.9438259858,243.125,276.964
D1 favorito,1,4,Tiki taka,Juego directo,77243,true,2.0,2.0,0.0,8.0,61.0972568578554,44.0,15.0,58.0,2.0,0.0,0.0,0.0,0.0,997.0,89.416,0.0,997.0,51.1658031088083,22.567703109328,31.0,3.18548387096774,6.0,17682.0704602957,294.842,319.67
D1 favorito,1,4,Presion alta,Contragolpe,77100,true,5.0,5.0,0.0,10.0,62.0614035087719,35.0,21.0,46.0,4.0,0.0,0.0,1.0,0.0,1006.0,87.724,0.0,1006.0,62.5520110957004,28.3300198807157,31.0,3.63709677419355,6.0,17035.1754876036,278.127,307.577
D1 favorito,1,4,Presion alta,Contragolpe,77113,true,3.0,2.0,1.0,8.0,56.6336633663366,33.0,22.0,49.0,2.0,0.0,0.0,2.0,0.0,1001.0,87.8254545454545,0.0,1001.0,62.8607277289837,20.3796203796204,35.0,3.57857142857143,7.0,18349.3278876112,294.062,329.501
D1 favorito,1,4,Presion alta,Contragolpe,77126,true,3.0,3.0,0.0,10.0,53.5377358490566,37.0,18.0,45.0,3.0,1.0,0.0,0.0,0.0,963.0,89.8349090909091,0.0,963.0,56.4102564102564,23.0529595015576,36.0,2.90277777777778,9.0,17680.1854104523,271.274,308.856
D1 favorito,1,4,Presion alta,Contragolpe,77139,true,4.0,4.0,0.0,12.0,48.8997555012225,32.0,20.0,45.0,6.0,2.0,0.0,6.0,1.0,998.0,88.6305454545455,0.0,998.0,61.3981762917933,34.0681362725451,40.0,2.525,11.0,14941.3980455372,256.702,284.866
D1 favorito,1,4,Presion alta,Contragolpe,77152,true,6.0,6.0,0.0,11.0,48.2456140350877,36.0,27.0,48.0,2.0,0.0,0.0,2.0,1.0,988.0,89.1869090909091,0.0,988.0,61.4965986394558,25.6072874493927,43.0,2.62790697674419,10.0,17488.8158275927,277.13,314.132
D1 favorito,1,4,Presion alta,Contragolpe,77165,true,5.0,5.0,0.0,11.0,53.5452322738386,42.0,16.0,55.0,3.0,0.0,0.0,1.0,0.0,989.0,90.1229090909091,0.0,989.0,53.8461538461538,23.7613751263903,33.0,3.07575757575758,5.0,17648.5894169377,287.052,323.336
D1 favorito,1,4,Presion alta,Contragolpe,77178,true,5.0,5.0,0.0,8.0,59.4594594594595,39.0,15.0,56.0,2.0,0.0,0.0,2.0,0.0,990.0,91.9229090909091,0.0,990.0,50.5555555555556,27.2727272727273,29.0,3.13793103448276,8.0,16536.3911002048,271.732,327.662
D1 favorito,1,4,Presion alta,Contragolpe,77191,true,7.0,7.0,0.0,11.0,56.7204301075269,40.0,16.0,51.0,2.0,0.0,0.0,1.0,0.0,961.0,90.3323636363636,0.0,961.0,52.3338048090523,26.4308012486993,30.0,3.08333333333333,6.0,17638.3547414971,266.213,300.472
D1 favorito,1,4,Presion alta,Contragolpe,77204,true,6.0,6.0,0.0,14.0,48.5221674876847,34.0,17.0,47.0,2.0,0.0,0.0,2.0,0.0,972.0,90.1818181818182,0.0,972.0,55.9228650137741,25.3086419753086,38.0,2.67105263157895,11.0,18244.6508831717,273.278,304.796
D1 favorito,1,4,Presion alta,Contragolpe,77217,true,9.0,9.0,0.0,10.0,66.2162162162162,34.0,10.0,40.0,5.0,1.0,0.0,3.0,0.0,1001.0,90.82,0.0,1001.0,60.1652892561983,39.5604395604396,26.0,3.5,3.0,13579.8199230773,247.61,278.642
D1 favorito,1,4,Presion alta,Contragolpe,77230,true,4.0,4.0,0.0,11.0,56.4903846153846,34.0,17.0,46.0,5.0,0.0,0.0,3.0,1.0,983.0,89.0658181818182,0.0,983.0,61.4692653673163,32.146490335707,31.0,3.30645161290323,10.0,15201.6624497404,248.719,282.139
D1 favorito,1,4,Presion alta,Contragolpe,77243,true,4.0,3.0,1.0,9.0,59.8984771573604,30.0,19.0,47.0,3.0,1.0,0.0,2.0,0.0,961.0,90.7152727272727,0.0,961.0,55.9540889526542,27.471383975026,31.0,3.14516129032258,7.0,16141.8251726873,267.008,302.693
D1 tapado,4,1,Tiki taka,Juego directo,77100,true,4.0,0.0,4.0,8.0,42.3076923076923,48.0,16.0,65.0,2.0,0.0,0.0,0.0,0.0,1009.0,93.0978181818182,0.0,1009.0,53.5667963683528,23.587710604559,30.0,3.44166666666667,4.0,19096.7916284502,288.131,314.701
D1 tapado,4,1,Tiki taka,Juego directo,77113,true,4.0,0.0,4.0,8.0,46.2921348314607,45.0,23.0,62.0,4.0,0.0,0.0,3.0,0.0,988.0,91.7003636363636,0.0,988.0,55.9748427672956,19.5344129554656,36.0,3.09027777777778,7.0,19703.0451691023,293.195,329.787
D1 tapado,4,1,Tiki taka,Juego directo,77126,true,4.0,0.0,4.0,7.0,40.6091370558376,42.0,14.0,54.0,1.0,0.0,0.0,1.0,0.0,961.0,95.1890909090909,0.0,961.0,50.8452535760728,19.9791883454735,33.0,2.96212121212121,6.0,19867.2969749571,286.665,313.833
D1 tapado,4,1,Tiki taka,Juego directo,77139,true,3.0,0.0,3.0,10.0,45.0363196125908,34.0,21.0,52.0,3.0,0.0,0.0,2.0,0.0,963.0,91.3665454545455,0.0,963.0,56.8654646324549,25.1298026998962,35.0,2.92857142857143,4.0,17116.9384333405,281.458,314.047
D1 tapado,4,1,Tiki taka,Juego directo,77152,true,3.0,0.0,3.0,9.0,53.1380753138075,41.0,22.0,58.0,2.0,0.0,0.0,2.0,0.0,970.0,90.5385454545454,0.0,970.0,60.8695652173913,19.3814432989691,39.0,3.05128205128205,6.0,19618.9614361396,303.523,334.476
D1 tapado,4,1,Tiki taka,Juego directo,77165,true,3.0,0.0,3.0,11.0,50.5882352941176,44.0,18.0,56.0,2.0,0.0,0.0,1.0,0.0,996.0,93.0094545454545,0.0,996.0,54.2893725992318,21.5863453815261,32.0,3.3125,4.0,19098.0967449825,296.421,334.916
