escenario,division_a,division_b,estilo_a,estilo_b,semilla,coincide_con_fotogramas,goles,goles_local,goles_visitante,tiros,posesion_pct,pases,perdidas,pases_intentados,faltas,penales,offsides,amarillas,rojas,ticks,resistencia_final_pct,mitades_cortadas,fotogramas,controlada_pct,pelota_parada_pct,posesiones,duracion_posesion_seg,recuperaciones_altas,separacion_lineas_m,recorrido_total_m,ms_sin_fotogramas,ms_con_fotogramas
D1 favorito,1,4,Tiki taka,Juego directo,77243,true,3.0,3.0,0.0,10.0,50.3856041131105,43.0,13.0,59.0,3.0,0.0,0.0,2.0,1.0,1025.0,92.7476363636364,0.0,1025.0,50.9881422924901,25.9512195121951,33.0,2.93181818181818,8.0,37.1552711688175,17269.81803649,625.849,751.815
D1 favorito,1,4,Presion alta,Contragolpe,77100,true,4.0,4.0,0.0,8.0,62.0608899297424,27.0,18.0,41.0,4.0,0.0,0.0,1.0,0.0,966.0,90.1327272727273,0.0,966.0,61.3702623906706,28.9855072463768,22.0,4.78409090909091,5.0,40.4706074372477,16070.6326761335,606.179,596.19
D1 favorito,1,4,Presion alta,Contragolpe,77113,true,5.0,5.0,0.0,9.0,56.0538116591928,28.0,17.0,44.0,1.0,0.0,0.0,1.0,0.0,963.0,90.3061818181818,0.0,963.0,60.4651162790698,24.0913811007269,30.0,3.68333333333333,7.0,40.8248315181709,17276.1164401452,657.035,705.466
D1 favorito,1,4,Presion alta,Contragolpe,77126,true,4.0,4.0,0.0,9.0,46.4547677261614,38.0,13.0,44.0,5.0,1.0,0.0,0.0,0.0,991.0,91.9654545454545,0.0,991.0,57.5107296137339,29.4651866801211,28.0,3.58928571428571,6.0,42.222873728727,16879.5368850486,611.534,674.585
D1 favorito,1,4,Presion alta,Contragolpe,77139,true,5.0,5.0,0.0,12.0,60.3415559772296,39.0,23.0,55.0,1.0,0.0,0.0,1.0,0.0,1024.0,86.5752727272727,0.0,1024.0,65.7894736842105,22.0703125,40.0,3.28125,9.0,35.573322773739,17610.1073255129,732.581,782.728
D1 favorito,1,4,Presion alta,Contragolpe,77152,true,7.0,7.0,0.0,10.0,51.673640167364,40.0,26.0,55.0,4.0,0.0,0.0,2.0,0.0,1015.0,88.732,0.0,1015.0,67.4715909090909,30.64039408867,41.0,2.89634146341463,10.0,36.6630950530266,16759.3618509962,639.84,712.527
D1 favorito,1,4,Presion alta,Contragolpe,77165,true,7.0,7.0,0.0,14.0,58.3892617449664,34.0,22.0,54.0,1.0,0.0,0.0,0.0,0.0,1009.0,91.1047272727273,0.0,1009.0,61.2328767123288,27.6511397423191,41.0,2.72560975609756,11.0,36.7871365527901,16932.5338545335,636.732,661.036
D1 favorito,1,4,Presion alta,Contragolpe,77178,true,7.0,7.0,0.0,10.0,70.1612903225806,31.0,11.0,45.0,6.0,1.0,0.0,5.0,1.0,1005.0,92.3549090909091,0.0,1005.0,56.5284178187404,35.2238805970149,27.0,3.40740740740741,6.0,37.4299658946491,15915.5527892631,584.768,640.41
D1 favorito,1,4,Presion alta,Contragolpe,77191,true,3.0,3.0,0.0,9.0,53.7117903930131,42.0,15.0,56.0,2.0,0.0,0.0,0.0,0.0,968.0,93.1207272727273,0.0,968.0,59.1203104786546,20.1446280991736,31.0,3.68548387096774,5.0,42.6212091402774,18750.9112480976,655.622,719.777
D1 favorito,1,4,Presion alta,Contragolpe,77204,true,2.0,2.0,0.0,8.0,53.6423841059603,33.0,20.0,50.0,4.0,0.0,0.0,3.0,1.0,1053.0,88.7058181818182,0.0,1053.0,58.0939947780679,27.2554605887939,33.0,3.37121212121212,9.0,39.4986893842004,16774.8105675781,649.196,654.896
D1 favorito,1,4,Presion alta,Contragolpe,77217,true,4.0,4.0,0.0,8.0,56.8273092369478,27.0,22.0,43.0,3.0,0.0,0.0,1.0,0.0,1001.0,90.064,0.0,1001.0,69.901547116737,28.971028971029,38.0,3.26973684210526,8.0,39.9826690024253,15384.9040046,598.852,680.156
D1 favorito,1,4,Presion alta,Contragolpe,77230,true,6.0,6.0,0.0,13.0,62.0842572062084,34.0,15.0,39.0,4.0,0.0,0.0,3.0,0.0,963.0,90.2112727272727,0.0,963.0,67.624810892587,31.3603322949117,33.0,3.38636363636364,7.0,40.4759119113486,15947.174057133,555.671,607.197
D1 favorito,1,4,Presion alta,Contragolpe,77243,true,3.0,3.0,0.0,14.0,53.4526854219949,32.0,19.0,47.0,0.0,0.0,0.0,0.0,0.0,1012.0,90.1261818181818,0.0,1012.0,53.232462173315,28.1620553359684,34.0,2.84558823529412,9.0,39.3216872301521,16103.9464878492,606.713,541.459
D1 tapado,4,1,Tiki taka,Juego directo,77100,true,2.0,0.0,2.0,12.0,50.8982035928144,52.0,15.0,66.0,4.0,0.0,0.0,0.0,0.0,1007.0,91.1865454545455,0.0,1007.0,61.7866004962779,19.9602780536246,31.0,4.01612903225806,7.0,40.7748198747934,18589.032001144,658.165,717.784
D1 tapado,4,1,Tiki taka,Juego directo,77113,true,3.0,0.0,3.0,9.0,48.7951807228916,41.0,17.0,54.0,2.0,0.0,0.0,2.0,0.0,997.0,91.5170909090909,0.0,997.0,65.0856389986825,23.8716148445336,35.0,3.52857142857143,11.0,39.2966028920955,17278.3959275943,624.155,709.469
D1 tapado,4,1,Tiki taka,Juego directo,77126,true,2.0,0.0,2.0,7.0,49.6487119437939,37.0,20.0,55.0,3.0,1.0,1.0,1.0,0.0,966.0,94.0370909090909,0.0,966.0,57.7291381668947,24.3271221532091,37.0,2.85135135135135,9.0,40.737043622534,17577.0613810246,651.057,648.406
